WAVELEGNTH (nm),libRadtran,cloud cover,TOA,no cloud raw,cloud cover raw,MODTRAN
785,7.37E-01,3.6866E-01,5.00E-01,3.69E-01,1.84E-01,7.70E-01
790,7.34E-01,3.6684E-01,5.00E-01,3.67E-01,1.83E-01,7.53E-01
795,7.35E-01,3.6733E-01,5.00E-01,3.67E-01,1.84E-01,7.46E-01
800,7.32E-01,3.6594E-01,5.00E-01,3.66E-01,1.83E-01,7.44E-01
805,7.18E-01,3.5892E-01,5.00E-01,3.59E-01,1.79E-01,7.39E-01
810,6.63E-01,3.3159E-01,5.00E-01,3.32E-01,1.66E-01,6.86E-01
815,5.86E-01,2.9281E-01,5.00E-01,2.93E-01,1.46E-01,5.99E-01
820,5.77E-01,2.8853E-01,5.00E-01,2.89E-01,1.44E-01,5.73E-01
825,6.25E-01,3.1251E-01,5.00E-01,3.13E-01,1.56E-01,6.02E-01
830,6.62E-01,3.3092E-01,5.00E-01,3.31E-01,1.65E-01,6.42E-01
835,7.03E-01,3.5147E-01,5.00E-01,3.51E-01,1.76E-01,6.98E-01
840,7.50E-01,3.7495E-01,5.00E-01,3.75E-01,1.87E-01,7.54E-01
845,7.76E-01,3.8794E-01,5.00E-01,3.88E-01,1.94E-01,7.89E-01
850,7.86E-01,3.9284E-01,5.00E-01,3.93E-01,1.96E-01,8.02E-01
