WAVELEGNTH (nm),libRadtran,cloud cover,TOA,clear_raw,cloud=0.5_raw
785,8.37E-01,4.1851E-01,8.66E-01,7.25E-01,3.62E-01
790,8.35E-01,4.1733E-01,8.66E-01,7.23E-01,3.61E-01
795,8.36E-01,4.1780E-01,8.66E-01,7.24E-01,3.62E-01
800,8.34E-01,4.1692E-01,8.66E-01,7.22E-01,3.61E-01
805,8.23E-01,4.1139E-01,8.66E-01,7.13E-01,3.56E-01
810,7.76E-01,3.8806E-01,8.66E-01,6.72E-01,3.36E-01
815,7.09E-01,3.5437E-01,8.66E-01,6.14E-01,3.07E-01
820,7.01E-01,3.5056E-01,8.66E-01,6.07E-01,3.04E-01
825,7.44E-01,3.7190E-01,8.66E-01,6.44E-01,3.22E-01
830,7.76E-01,3.8809E-01,8.66E-01,6.72E-01,3.36E-01
835,8.09E-01,4.0456E-01,8.66E-01,7.01E-01,3.50E-01
840,8.45E-01,4.2237E-01,8.66E-01,7.32E-01,3.66E-01
845,8.63E-01,4.3162E-01,8.66E-01,7.48E-01,3.74E-01
850,8.70E-01,4.3494E-01,8.66E-01,7.53E-01,3.77E-01
