Wavelength,libRadtran,cloud cover = 0.5,MODTRAN
785,8.57E-01,4.2847E-01,8.76E-01
790,8.55E-01,4.2742E-01,8.65E-01
795,8.56E-01,4.2786E-01,8.61E-01
800,8.54E-01,4.2709E-01,8.60E-01
805,8.44E-01,4.2197E-01,8.56E-01
810,8.00E-01,4.0002E-01,8.14E-01
815,7.36E-01,3.6810E-01,7.42E-01
820,7.29E-01,3.6442E-01,7.18E-01
825,7.70E-01,3.8483E-01,7.41E-01
830,8.01E-01,4.0031E-01,7.75E-01
835,8.31E-01,4.1557E-01,8.21E-01
840,8.64E-01,4.3183E-01,8.63E-01
845,8.80E-01,4.4017E-01,8.87E-01
850,8.86E-01,4.4313E-01,8.95E-01
